,Unnamed: 0,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
180,62,Treebo Trend Raj Elegance Nagavara,Bangalore,2105,253,2358,6.0,Good ,362,7.4
181,63,"Royal Orchid Central Bangalore, Manipal Centre, MG Road",Bangalore,4250,510,4760,8.6,Fabulous ,838,1.5
182,64,FabHotel Crown Suites,Bangalore,1705,205,1910,9.3,Superb ,72,5.0
183,65,Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,Bangalore,1800,217,2017,7.0,Good ,294,4.3
184,66,"Treebo Trend Apple Villa - 2 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,2298,276,2574,7.3,Good ,1887,2.3
185,67,ibis Bengaluru City Centre - An Accor Brand,Bangalore,3999,480,4479,8.2,Very good ,92,1.3
186,68,Laika Boutique Stay,Bangalore,4400,528,4928,8.1,Very good ,35,1.7
187,69,Modern Hotel,Bangalore,1320,158,1478,8.3,Very good ,125,3.2
188,70,Terrace Gardens,Bangalore,4500,540,5040,9.0,Superb ,6,1.4
189,71,Home Awaits 455,Bangalore,1650,198,1848,7.9,Good ,27,12.4
190,72,Super OYO Collection O 73977 Malleswaram,Bangalore,1925,265,2190,9.7,Exceptional ,4,3.7
191,73,Apart Hotel SRS,Bangalore,2240,269,2509,8.7,Fabulous ,1045,4.7
192,74,Shangri-La Bengaluru,Bangalore,16500,2970,19470,7.4,Good ,321,2.3
193,75,"Southern Star,Bangalore",Bangalore,5185,928,6113,7.9,Good ,148,4.4
194,76,Tristar Serviced Apartments,Bangalore,3750,450,4200,7.4,Good ,12,28.2
195,77,Krishna Homes,Bangalore,6800,816,7616,8.3,Very good ,1069,2.1
196,78,Conrad Bengaluru,Bangalore,15000,2700,17700,8.9,Fabulous ,118,9.8
197,79,Felix Inn - Manyata Tech Park,Bangalore,1650,198,1848,7.6,Good ,269,3.9
198,80,X by Bloom l Indiranagar,Bangalore,3690,443,4133,5.8,Good ,39,5.5
199,81,Hotel Monarch International Jayanagar,Bangalore,2249,270,2519,8.9,Fabulous ,300,4.9
200,82,FabHotel The Leela Park,Bangalore,2030,244,2274,7.4,Good ,1297,2.6
201,83,"Holiday Inn Bengaluru Racecourse, an IHG Hotel",Bangalore,6199,744,6943,8.0,Very good ,77,7.6
202,84,X by Bloom I Hebbal Manyata Park,Bangalore,2160,259,2419,7.6,Good ,586,5.4
203,85,Sterlings Mac Hotel,Bangalore,7820,1408,9228,7.6,Good ,64,6.2
204,86,Olive Golflinks - by Embassy Group,Bangalore,1898,228,2126,5.3,Good ,37,5.5
205,87,The Corporate Comforts,Bangalore,1650,198,1848,8.1,Very good ,306,4.4
