,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
108,Utse Suites,Bangalore,2750,330,3080,7.9,Good ,292 ,6.2
109,Olive BTM Layout - By Embassy Group,Bangalore,2944,353,3297,3.4,Good ,5 ,11.9
110,2BHK Lux Home Manyata Airport Hennur Pool Gym BH02,Bangalore,3500,420,3920,7.0,Good ,444 ,2.5
111,Hotel Apple Suites,Bangalore,1800,216,2016,8.3,Very good ,294 ,4.9
112,FabHotel S Comfort Inn,Bangalore,1819,218,2037,7.9,Good ,53 ,13.3
113,Super OYO Collection O Global Stay Near Kengeri Bus Terminal Metro Station,Bangalore,1301,216,1517,7.5,Good ,2 ,16.2
114,TS Suites,Bangalore,1120,134,1254,7.0,Good ,84 ,2.7
115,Hotel U.T.ELITE,Bangalore,1530,184,1714,6.9,Good ,486 ,4.7
116,Fairfield by Marriott Bengaluru Rajajinagar,Bangalore,5650,678,6328,7.6,Good ,84 ,5.1
117,Lazdana Hotel Bangalore,Bangalore,4589,551,5140,8.1,Very good ,130 ,9.1
118,Super OYO Townhouse 258 Spruce Hotels Bellandur,Bangalore,1611,227,1838,8.2,Very good ,24 ,5.9
119,Astra Hotels and Suites - Koramangala,Bangalore,1999,240,2239,8.6,Fabulous ,89 ,8.8
120,Stayhome Suites,Bangalore,2330,280,2610,8.2,Very good ,530 ,5.9
121,Grand Mercure Bangalore - An Accor Brand,Bangalore,9700,1746,11446,8.1,Very good ,118 ,3.8
122,Olive Indiranagar Metro - by Embassy Group,Bangalore,3018,422,3440,10,Exceptional ,2 ,13.1
123,Luxurious 3BHK in 23rd floor of Bhartiya City,Bangalore,5400,648,6048,8.4,Very good ,50 ,4.4
